iter	RMSE
0	1.243787615
1	1.115324702
2	1.009034121
3	0.9246275323
4	0.852924569
5	0.7866630518
6	0.7308414937
7	0.6862642824
8	0.6436952561
9	0.6142310665
10	0.5844902479
11	0.5622069557
12	0.5440837583
13	0.5265427111
14	0.5127133184
15	0.5013664441
16	0.4920287434
17	0.4830653812
18	0.4738645504
19	0.4647101484
20	0.4580453577
21	0.4510956537
22	0.4460446918
23	0.442129617
24	0.4386902332
25	0.4353265894
26	0.4307306966
27	0.42681646
28	0.4237371457
29	0.4200516058
30	0.4168456364
31	0.4143116255
32	0.4117894017
33	0.4097003521
34	0.4076308309
35	0.4046085194
36	0.4031993071
37	0.3996944037
38	0.3982235966
39	0.3943520934
40	0.3906692287
41	0.3871515129
42	0.3851504168
43	0.3829830892
44	0.3787876885
45	0.3774929592
46	0.3754809391
47	0.3740437428
48	0.3720553119
49	0.3706644596
50	0.3704988303
51	0.3679836938
52	0.3665815191
53	0.3656353162
54	0.362680703
55	0.3610546376
56	0.3575873725
57	0.3553500948
58	0.3550041655
59	0.3537782008
60	0.3530533399
61	0.3503139001
62	0.3485316156
63	0.3476748724
64	0.3465364814
65	0.3443801488
66	0.3438780666
67	0.3436309495
68	0.3405110876
69	0.3374688249
70	0.3347938929
71	0.3344934392
72	0.3314553183
73	0.3312288292
74	0.3297854043
75	0.3295808381
76	0.327831063
77	0.3263975723
78	0.3262420767
79	0.3242610724
80	0.3217696698
81	0.3196346279
82	0.3171406014
83	0.3149133517
84	0.3120114877
85	0.3093399509
86	0.3086609502
87	0.3082134699
88	0.3060445881
89	0.3041008587
90	0.3016857382
91	0.2998132839
92	0.2985970965
93	0.2966449182
94	0.2958417189
95	0.2934959348
96	0.2914243164
97	0.2912201299
98	0.2889543277
99	0.287645213
100	0.2870573692
101	0.2854917627
102	0.2853580977
103	0.2842279944
104	0.2828406222
105	0.2815891608
106	0.2802264812
107	0.2789049628
108	0.2774159357
109	0.2772246634
110	0.276059682
111	0.2741622298
112	0.2738045411
113	0.2727920091
114	0.2720647105
115	0.27008241
116	0.2670293292
117	0.2668216168
118	0.2666953286
119	0.2653405821
120	0.265238887
121	0.2635453174
122	0.2628785018
123	0.2620423722
124	0.2610160077
125	0.2594783849
126	0.2586742143
127	0.2585940828
128	0.2585271632
129	0.2570606692
130	0.2549584849
131	0.2541499796
132	0.2526340035
133	0.2517952214
134	0.2506245069
135	0.2500601676
136	0.2490761338
137	0.248770593
138	0.2472269144
139	0.2461749719
140	0.2448407891
141	0.2439877434
142	0.2429100634
143	0.2424258855
144	0.2417426836
145	0.240205477
146	0.2388846634
147	0.2380971407
148	0.2379948303
149	0.2367758026
150	0.2366960208
151	0.2362231755
152	0.2353885546
153	0.2345104366
154	0.2331898058
155	0.2326324894
156	0.2316934714
157	0.2315645209
158	0.2311510291
159	0.2304706878
160	0.2294299108
161	0.2283421994
162	0.2271832468
163	0.2264660698
164	0.2248981445
165	0.2238462194
166	0.2233564968
167	0.2233126537
168	0.2219664435
169	0.2211080723
170	0.2197245428
171	0.2196895057
172	0.218648606
173	0.2174652458
174	0.2167478095
175	0.2154616855
176	0.2153625521
177	0.2144169027
178	0.2134771346
179	0.2128046077
180	0.2118016801
181	0.2117726346
182	0.2109819307
183	0.2102443468
184	0.21019227
185	0.2095590355
186	0.2092384252
187	0.2092078495
188	0.2091801545
189	0.2081482759
190	0.2073272535
191	0.2064774336
192	0.2057295701
193	0.2057093171
194	0.2042539701
195	0.2024915501
196	0.2024732523
197	0.2014026414
198	0.2009750006
199	0.2000716205
