iter	Passed	Remaining
0	1	280
1	2	250
2	3	261
3	5	271
4	7	274
5	8	278
6	10	280
7	11	283
8	13	283
9	14	283
10	16	282
11	18	282
12	19	276
13	20	276
14	22	276
15	24	276
16	25	275
17	27	274
18	28	272
19	30	271
20	31	270
21	33	269
22	34	268
23	36	266
24	37	265
25	39	263
26	40	262
27	42	261
28	44	261
29	45	260
30	47	258
31	48	257
32	50	255
33	52	254
34	53	252
35	55	251
36	56	250
37	58	248
38	59	247
39	61	245
40	62	244
41	64	243
42	66	242
43	68	241
44	69	239
45	71	237
46	72	236
47	74	234
48	75	233
49	77	231
50	78	228
51	79	226
52	81	224
53	82	223
54	84	222
55	85	221
56	87	219
57	89	218
58	90	217
59	92	215
60	93	214
61	95	212
62	97	211
63	98	209
64	100	207
65	101	206
66	103	205
67	104	203
68	106	202
69	108	200
70	109	199
71	111	197
72	112	196
73	114	194
74	123	206
75	125	204
76	126	202
77	128	200
78	130	199
79	131	197
80	133	195
81	134	193
82	136	192
83	137	190
84	139	188
85	141	187
86	142	185
87	144	183
88	145	181
89	147	180
90	148	178
91	150	176
92	152	174
93	153	173
94	155	171
95	156	169
96	158	168
97	160	166
98	161	164
99	163	163
100	164	161
101	166	159
102	168	158
103	169	156
104	171	154
105	172	153
106	174	151
107	175	149
108	177	148
109	178	146
110	180	144
111	182	143
112	183	141
113	185	139
114	186	138
115	188	136
116	189	134
117	191	132
118	192	131
119	194	129
120	195	127
121	197	126
122	199	124
123	200	122
124	202	121
125	203	119
126	205	118
127	206	116
128	208	114
129	210	113
130	211	111
131	213	109
132	214	108
133	216	106
134	217	104
135	219	103
136	220	101
137	222	99
138	223	98
139	225	96
140	227	95
141	228	93
142	230	91
143	231	90
144	233	88
145	234	86
146	236	85
147	237	83
148	239	81
149	240	80
150	242	78
151	243	77
152	245	75
153	247	73
154	248	72
155	250	70
156	252	69
157	253	67
158	255	65
159	256	64
160	258	62
161	259	60
162	261	59
163	262	57
164	264	56
165	266	54
166	267	52
167	269	51
168	270	49
169	272	48
170	274	46
171	275	44
172	277	43
173	278	41
174	280	40
175	281	38
176	283	36
177	284	35
178	286	33
179	288	32
180	289	30
181	291	28
182	292	27
183	294	25
184	296	24
185	297	22
186	299	20
187	300	19
188	301	17
189	303	15
190	305	14
191	306	12
192	308	11
193	309	9
194	311	7
195	312	6
196	314	4
197	316	3
198	317	1
199	319	0
